,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
2,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
3,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
4,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
5,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
6,Assign seriousness,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
7,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
8,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
9,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
10,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
11,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
12,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
13,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
14,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
15,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
16,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
17,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
18,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
19,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
20,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
21,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
22,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
23,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
24,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
25,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
26,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
27,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
28,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
29,Assign seriousness,Take in charge ticket,Create SW anomaly,Require upgrade,Resolve ticket,Closed,,,,,,,,,
30,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
31,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
32,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Closed,,,,,,,,,
33,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
34,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
35,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,
36,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
37,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
38,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
39,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
40,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
41,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
42,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
43,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
44,Assign seriousness,Take in charge ticket,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
45,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
46,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
47,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
48,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
49,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
50,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
51,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
52,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
53,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
54,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
55,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
56,Assign seriousness,Create SW anomaly,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
57,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
58,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
59,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
60,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
61,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
62,Assign seriousness,Assign seriousness,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
63,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
64,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
65,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
66,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
67,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
68,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
69,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
70,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
71,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
72,Resolve ticket,Closed,,,,,,,,,,,,,
73,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
74,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
75,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
76,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
77,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Closed,,,,,,,,,
78,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
79,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
80,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
81,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
82,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
83,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
84,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
85,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,
86,Assign seriousness,Assign seriousness,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
87,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
88,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
