,0,1,2,3,4,5,6,7
0,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
1,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
2,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
3,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
4,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
5,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
6,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
7,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
8,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
9,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
10,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
11,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
12,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
13,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
14,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
15,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
16,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
17,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
18,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
19,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
20,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
21,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
22,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
23,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
24,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
25,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
26,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
27,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
28,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
29,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
30,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
31,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
32,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
33,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
34,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
35,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
36,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
37,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
38,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
39,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
40,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
41,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
42,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
43,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
44,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
45,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
46,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
47,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
48,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
49,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
50,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
51,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
52,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
53,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
54,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
55,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
56,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
57,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
58,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
59,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
60,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
61,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
62,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
63,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
64,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
65,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
66,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
67,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
68,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
69,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
70,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
71,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
72,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
73,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
74,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
75,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
76,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
77,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
78,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
79,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
80,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
81,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
82,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
83,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
84,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
85,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
86,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
87,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
88,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
89,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
90,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
91,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
92,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
93,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
94,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
95,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
96,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
97,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
98,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
99,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
100,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
101,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
102,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
103,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
104,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
105,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
106,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
107,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
108,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
109,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
110,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
111,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
112,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
113,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
114,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
115,Activity A,Activity D,Activity C,Activity B,Activity E,Activity H,Activity F,Activity J
116,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
117,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
118,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
119,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
120,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
121,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
122,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
123,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
124,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
125,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
126,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
127,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
128,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
129,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
130,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
131,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
132,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
133,Activity A,Activity D,Activity C,Activity B,Activity E,Activity G,Activity F,Activity J
134,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
135,Activity A,Activity D,Activity C,Activity B,Activity E,Activity I,Activity F,Activity J
136,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
137,Activity A,Activity C,Activity D,Activity B,Activity E,Activity G,Activity F,Activity J
138,Activity A,Activity C,Activity D,Activity B,Activity E,Activity I,Activity F,Activity J
139,Activity A,Activity C,Activity D,Activity B,Activity E,Activity H,Activity F,Activity J
